Year,Advertising,Biotechnology,eCommerce,Education,Finance,Games,Health,Manufacturing,Mobile,SocialMedia 
2000,0,86399,0,0,0,0,0,0,0,0
2001,0,73116,0,0,22740,0,0,34320,62630,0
2002,0,51050,3620,0,0,0,0,0,0,0
2003,0,38800,25000,0,0,0,0,0,0,0
2004,0,37288,70000,0,0,0,0,95000,0,0
2005,100000,154999,0,51000,0,0,81600,0,76900,15270
2006,50000,156295,130000,0,123000,110500,92500,0,261900,64870
2007,202000,240249,254063,50000,0,112596,125000,76500,174000,155850
2008,341286,50000,240000,90000,153798,55000,0,0,230788,25000
2009,365000,511898,315147,271885,12000,588556,91500,65454,281743,227000
2010,313111,711130,866724,155000,407407,485922,358115,170000,551151,725702
2011,561105,300408,1209296,787640,86069,1191751,197885,55000,1376443,1062257
2012,641236,422550,2024493,1127584,279877,637819,344869,127402,1738561,1681207
2013,511747,142500,1953616,700013,278497,507252,480340,96434,941799,969153
2014,88623,0,139745,286000,101500,329523,132202,92900,109500,77616
